source,year,title,grade,content
redacoes_uol,2019,Um réu deve ou não ser preso após a condenação em 2ª. instância?  ,0,"Assunto que repercute de forma constante nos atuais veículos de informações da atualidade tem gerado uma problematização constante, devido as opiniões opostas. O tema que concentra as atenções populares a espera de uma decisão, estão voltados ao Poder Judiciário.Que debatem se o réu deve ou não, ser preso após condenação em 2º instância.Por outro lado existem aqueles que defendem a posição de quem deve avançar o processo até o esgotamento de possibilidades do réu provar sua inocência. Para que então o acusado tenha sua ampla defesa e o devido processo legal.Todavia , o fato de se ter prolongado o processo por 2 níveis judiciários de julgamento, está mais do que provado a decisão dos juízes em indeferir o caso do acusado, além do mais acaba contribuindo pela celeridade do processo nos tribunais e não fomentar a impunibilidade que existe devido ao réu não ser considerado culpado até o transito julgado da sentença penal condenatória.Por trás do fato há detentores da opinião de que o Brasil é um país retrógado e impunível pelas leis e o sistema jurídico atuais que beneficiam os acusados e sentenciados, ficando assim distante de países onde as leis são severas e os índices de criminalidades são baixos.Contudo para que o Brasil possa chegar a notoriedade de um país soberano e justo, devemos nos conscientizar de que tudo começa pela aplicabilidade de normas impostas seja elas de direito oferecido e dever imposto."
redacoes_uol,2020,Qualificação e o futuro do emprego,220,"Hoje em dia a taxa de desemprego esta muito alta, isso é fato, mas não acho que seja realmente por falta de oportunidades, mas sim por falta de qualificação, existem muitos desempregados hoje, imagina futuramente! Parte da população hoje não possui ensino superior, o que ja é bem exigido, entre pessoas que tem ensino superior e pessoas que tem uma pós graduação , provavelmente vai contratar a pessoa que tem uma pós graduação .Agora vamos falar do futuro que nós espera. Estamos no século da tecnologia e inovação onde cada vez mais maquinas ocupam o lugar de alguém, não só por falta de qualificação, mas também pela substituição de pessoas por maquinas . Também acho importante destacar que isso não so por deixar uma pessoa desempregada mas também faz com que á empresa economise dinheiro e tempo, sendo assim possa produzir mais.Para finalizar acho importante dizer então que futuramente sem qualificação, o desemprego tenha uma taxa bem mais elevada que atualmente. Espero que as pessoas dê mais valor para os estudos, já que atualmente a taxa de jovens sem estudos é bem alta."
redacoes_uol,2020,Qualificação e o futuro do emprego,480,"Anos após anos, uma vaga de emprego demandar cada vez mais qualificações do empregado, que na maioria das vezes concluíram, o curso superior e são incapazes de trabalha nesse ramo e optam opta por um emprego informal. Esse fenômeno ocorre porque o mercado de trabalho se modifica constantemente de maneira que algumas profissões são extintas, pois são ocupadas por máquinas.

No O filme ""Estrelas além do Tempo"", de 2016, contar a história de três calculadoras humanas, que eram muito requisitadas por centros de pesquisa, antes dos surgimentos das modernas calculadoras eletrônicas e dos computadores. No longa-metragem, vemos a personagem Dorothy Vougham que ao saber que a Nasa tinha comprado um novo computador que fazia 24mil cálculos por segundo, o que colocava seu emprego em risco, Dorothy resolveu aprender a programar esse mesmo computador e ensinar suas companheiras.

No mercado de trabalho e necessário está sempre se adaptando, pois ele e instável fazendo com que algumas profissões sumam, enquanto novas apareçam como gestores de mídias sociais."
redacoes_uol,2020,Qualificação e o futuro do emprego,400,"Muito se discute o crescimento desenfreado do desemprego no Brasil, decorrência do aumento da força de trabalho e a preocupante substituição do serviço humano por máquinas. 

Registros apontam que o crescimento populacional afeta na criação de empregos para os recém chegados ao mercado de trabalho, fazendo com que essas pessoas procurem uma maneira mais fácil de ganhar na vida, buscando suprir suas necessidades no crime.

Ademais, a procura por emprego se torna ainda mais difícil por conta da crescente substituição do trabalho humano por máquinas e inovações tecnológicas. Futuramente as vagas só surgirão para quem tem uma alta qualificação, gerando um grande número de trabalhadores incapazes.

Tendo em vista os argumentos apresentados, fica claro que essa situação não evidência uma solução de curto prazo. Cabe às instituições de ensino investir, de fato, em uma boa formação, inserindo pessoas qualificadas ao mercado de trabalho. E por fim, cabe à sociedade dar as mesmas oportunidades para todos e cuidar para que esse erro não se repita no futuro."
redacoes_uol,2020,Qualificação e o futuro do emprego,600,"O mercado de trabalho está sofrendo mudanças, e apesar de investimento em educação, não estão sendo elaboradas estratégias pra para adaptar profissionais nesse novo cenário. Os jovens quase não tem noções sobre o novo mercado de trabalho voltado para setores tecnológicos deixando muitos a margem de uma boa qualidade de vida.

Tal fato causa também decadência no índice de desenvolvimento dos países, como o Brasil que é tecnologicamente atrasado. Devido à extinção de profissões na troca da mão de obra humana pela máquina, é preciso buscar capacitação nos empregos que estão surgindo.

No Brasil são ensinadas nas escolas apenas as disciplinas essenciais de forma arcaica , sem esclarecimento sobre o perfil profissional através de professores pouco competentes. Isso acontece principalmente nas regiões mais carentes, o que leva os indivíduos entre outros fatores, não obterem boa formação escolar, recorrerem a sub empregos e não buscar qualificação. 

É necessário que os países, principalmente os menos desenvolvidos elaborem projetos de reestruturação em seus sistemas de educação, desenvolvendo ideias mutuamente entre seus aliados e associações de nações como o BRICS, investindo em pesquisa e intercâmbio de conhecimento para capacitar os jovens nas vagas mais demandadas, diminuindo o número de desempregados efetivamente."
redacoes_uol,2020,Qualificação e o futuro do emprego,560,"À medida que a humanidade se torna mais consciente em relação às novas mudanças provocadas em larga escala pelo desenvolvimento de novas tecnologias faz-se necessário que outras formas de reinvenção do trabalho sejam discutidas. Vivemos em um estágio crítico onde a mão de obra humana está ameaçada por suas próprias invenções, o que alguns especialistas chamam de revolução tecnológica.

Dados oficiais sobre o número de desempregados no Brasil aponta um cenário alarmante, cerca de 12 milhões de desempregados. As modalidades de trabalho visam atualmente cada vez mais aderir à tecnologia automatizada, embora em grande parte não seja completamente, pois ainda se exige a presença de profissionais operando de forma parcial dividindo assim a força de trabalho, embora já existam ""empresas 100% tecnológicas"".

Analisando de forma crítica podemos imaginar um futuro nada otimista para algumas profissões que certamente serão substituídas pelo trabalho inteligente das últimas invenções modernas. Espera-se que profissionais se adequem às novas tendências do mercado.

No entanto, ainda é possível segundo especialistas que estudam o mercado reverter esse quadro com uma atitude simples, reinventar a educação. Para isso alguns passos podem ser adotados , como exemplo estudar novas formas de negócios voltados para o futuro digital, se adequar à novas tecnologias de educação profissional, visando estar atualizado(a) e/ou capacitado(a) para um futuro no qual o mercado de trabalho será cada vez mais seletivo."
redacoes_uol,2020,Qualificação e o futuro do emprego,400,"A Qualificação e o futuro do emprego estão cada vez mais preocupantes e eles são importantes para que nosso país saia dessa crise de desemprego, Cerca de 12 milhões de pessoas atualmente estão desempregadas, por isso que o futuro é tão preocupante para alguns.

Por tanto é importante ressaltar que uma qualificação em alguma área e o ensino medio completo é essencial para que a pessoa consiga um emprego, muitas vezes as empresas deixam de contratar o funcionário por conta de seu currículo não ter nenhuma qualificação.

Atualmente a tecnologia é uma das ferramentas mais usadas, hoje em dia conseguimos fazer praticamente tudo com ela, porém o excesso dela pode ocasionar muitos problemas, um deles é a falta de emprego por conta de ser algo mais robotico e agil. Infelizmente em outros países esse método já foi adotado nos mercados e industrias , substituindo o funcionário por algo mais moderno que para o empregador daria menos gastos, esse avanço da tecnologia ainda está em andamento em nosso país.

Portanto, podemos concluir que uma qualificação é muito importante nos dias atuais, e a questão do emprego, deveriam criar mais empregos para suportar o numero de população de desempregados e não substituir los por maquinas"
redacoes_uol,2020,Qualificação e o futuro do emprego,0,"No que se refere aos avanços tecnológicos no Brasil, nota-se que, atingiu diretamente à população em seu meio social, na qual, trouxe diversos benefícios e malefícios para os usuários. Em contrapartida, essa realidade impôs novos desafios para a sociedade contemporânea.

Nesse contexto, é conveniente destacar, que muitos indivíduos até mesmo crianças, estão sujeitas a manipulações, que pode ser inadequadas. Infelizmente, como há pessoas de má conduta que utiliza a internet para atraí pessoas fragilizados, é de fundamental importância o acompanhamento familiar.

Cabe ainda ressaltar, que ressaltar que tal meio se transforma em uma forma de lazer para todos os indivíduos, e com os avanços tecnológicos, irá conduzir mais ainda os telespectadores através dos seus gostos."
redacoes_uol,2020,Qualificação e o futuro do emprego,400,"Sabe-se que a era da revolução técnico-científica-informacional trouxe Profundas mudanças nos novos paradigmas sociais; pode-se mencionar a redução no numero de ofertas de empregos e também a demanda por pessoas qualificadas para atenderem os novos postos de trabalhos, já que o mesmo está sendo operado por máquinas. Portanto, observa-se que o mercado de trabalho ficou cada vez mais exigentes e novos postos de trabalho requerem boas qualificações para admissão, assim elevando o desemprego.

Por conseguinte, se constata uns percentuais números de pessoas que estão desempregadas ou em situações de subempregos, isso se deve há múltiplos fatores, o baixo nível escolar, desqualificação profissional e etc. Todavia, tais requisitos tendem resultarem no desencadeamento do desemprego, e por não atenderem as exigências postas no mercado de trabalhos se acentuaram os problemas de caráter sociais resultante do desempregos exacerbado.

Assim, cabe ressaltar que o desemprego foi surgindo na medida em que se acentuou uma gama de pessoas nas cidades, movido pelas melhorias nas condições de vidas que as zona urbana poderia proporcionar e também pela repulsão dos agricultores que não conseguiram se mantiver a sua sustentabilidade no rural, se obrigou a sair para buscarem melhores condições de vida, isso aliado às questões agrárias que foram importantíssimas para intensificar êxodo rural.

Contudo, os diversos são os fatores que podem desenvolver os desempregos, mas cabem às autoridades intervierem em tais problemas, tentando solucionar ou sanar. Portanto é relevante que os governantes do país priorizarem as políticas públicas para que tentar-se atenuarem o desemprego demasiado, investir mais na educação, impulsionar a economia do país para hajam novos postos de trabalhos e assim facilitarem o emprego a todos, sem exclusão."
redacoes_uol,2019,Agrotóxicos ou defensivos agrícolas: dois nomes e uma polêmica,560,É notório que a legalização sem limites dos pestic…ribuir para uma produção mais segura e eficiente.
